"83"," Muzikaljnij pereulok","50.44845","30.51725","1","1","30"
"84"," Pochajna","50.49333","30.50109","5","91","58"
"85"," Drevnij kolodec","50.47295","30.51274","1","83","58"
"86"," Sklep Kachkovskih","50.48059","30.46445","1","35","43"
"87"," Mihajlovskij Zlatoverhij sobor","50.45553","30.52317","1","36","32"
"88"," Shkola na Buljvarno-Kudrjavskoj.","50.45353","30.50181","1","85","32"
"89"," Zavod Artema","50.46131","30.48469","5","5","42"
"90"," Derzhavnij muzej aviacii u Kiivi","50.40735","30.45934","2","45","58"
"91"," Svjatoshin","50.44979","30.37613","5","47","31"
"92"," Kievskij kommercheskij institut","50.45596","30.44061","5","78","19"
"93"," Kievskij Universitet Svjatogo Vladimira","50.442","30.5106","5","46","55"
"94"," Dom na ulice Kravchenko","50.45746","30.48278","1","11","40"
"95"," Zavod Antonova","50.46337","30.39227","5","97","14"
"96"," Libedj","50.41612","30.51705","5","63","48"
"97"," Iljinskaja cerkovj","50.46681","30.52411","1","11","53"
"98"," st. metro Kreshtatik","50.44712","30.52299","5","30","10"
"99"," Pushta-Vodica","50.53387","30.36121","4","92","49"
"100"," Kinj-Grustj (Dacha Kuljzhenko)","50.52213","30.4476","2","92","7"
"101"," Evbaz","50.44663","30.49109","5","37","15"
"102"," Kozhumjaki","50.4614","30.50953","1","44","35"
"103"," Pamjatnik Bogdanu Hmeljnickomu","50.45353","30.51649","1","37","46"
"104"," Bashnja 1","50.42413","30.53703","1","24","29"
"105"," Dom Tereshtenko.","50.43965","30.51308","1","53","54"
"106"," Ricarskij osobnjak na Bibikovskom buljvare","50.44537","30.50341","1","68","59"
"107"," Opernij teatr","50.4467","30.51241","3","79","25"
"108"," Bereznjaki","50.42872","30.60412","5","6","15"
"109"," Solnechnie chasi","50.46551","30.52098","1","58","14"
"110"," Troickaja cerkovj Ioninskogo monastirja","50.41064","30.55908","1","87","4"
"111"," Kitaevo","50.36863","30.5402","1","44","51"
"112"," Pamjatnik Zashtitnikam granic Otechestva vseh pokolenij","50.45104","30.51407","1","33","36"
"113"," Hram Rozhdestva Hristova","50.45903","30.52511","1","4","34"
"114"," Kolokoljnja cerkvi Nikoli Dobrogo","50.46167","30.51837","1","97","55"
"115"," Observatorija","50.4526","30.49919","1","91","10"
"116"," Pamjatnik knjagine Oljge prosvetiteljam Kirillu i Mefodiju a takzhe Andreju Pervozvannomu","50.45534","30.52059","1","50","46"
"117"," Sovki","50.40263","30.48325","5","96","11"
"118"," Dom Uchitelja.","50.44461","30.51374","1","87","15"
"119"," Rusanovka","50.43914","30.59915","5","55","39"
"120"," Feofanija","50.36942","30.47795","5","74","39"
"121"," Andreevskaja cerkovj","50.45891","30.51805","1","97","40"
"122"," Nacionaljnij Bank","50.44724","30.53203","1","75","51"
"123"," Ulica Vladimirskaja","50.44954","30.51485","5","88","57"
"124"," Koncha-Zaspa","50.30794","30.57101","4","87","16"
"125"," Hreshtatik","50.44691","30.52173","5","82","25"
"126"," Nacionaljna filarmonija","50.45327","30.52826","2","68","42"
"127"," Muzej istorii medicini ili Anatomicheskij teatr.","50.44698","30.50555","2","32","11"
"128"," Pechersk","50.43889","30.54975","5","14","12"
"129"," Dom s himerami","50.44498","30.52863","1","84","6"
"130"," Muzej odnoj ulici","50.46046","30.51418","2","91","1"
"131"," Centraljnij zheleznodorozhnij vokzal","50.44037","30.48937","1","56","34"
"132"," Kievskoe more","50.64412","30.49018","4","38","34"
"133"," Fundukleevskaja ulica (Bogdana Hmeljnickogo)","50.4458","30.51443","1","23","21"
"134"," Svjato-Troickij monastirj ??Kitaevskaja pustinj??","50.36694","30.5423","1","26","38"
"135"," Aleksandrovskij kostil","50.45334","30.52471","1","90","47"
"136"," Muzej  Duhovni skarbi Ukraini","50.45808","30.5192","1","26","14"
"137"," Karaimsjka kenasa","50.45002","30.51093","1","53","48"
"138"," Kievskij universitet svjatogo Vladimira","50.44206","30.51065","5","94","27"
"139"," Cepnoj most","50.4437","30.56246","1","72","10"
"140"," Dom s zhirafami","50.43781","30.51103","1","14","20"
"141"," Ulica Chernij Jar (Mirnaja)","50.46428","30.50701","5","98","37"
"142"," Kelji Florovskogo monastirja","50.46345","30.51365","1","96","41"
"143"," Most Patona","50.42747","30.58277","1","31","53"
"144"," Ulica Vetrova","50.44307","30.50026","5","30","0"
"145"," Ulica Pokrovskaja","50.46122","30.51893","5","44","45"
"146"," Zhiloj dom 1808 g.","50.46083","30.51932","1","14","6"
"147"," Trehsvjatiteljskaja ulica","50.45437","30.52453","5","73","37"
"148"," Ulica Proreznaja","50.44859","30.51634","5","28","2"
"149"," Gora Shtekavica","50.46738","30.50353","4","24","12"
"150"," Pushka","50.44391","30.54541","1","99","53"
"151"," Nacionaljnij dvorec Ukraina","50.42228","30.52109","1","29","42"
"152"," Samie boljshie kievskie chasi","50.43468","30.55653","1","35","5"
"153"," Ulica Ljuteranskaja","50.44442","30.52624","5","91","28"
"154"," Svetomuzikaljnij fontan Djujmovochka","50.45186","30.53015","1","84","48"
"155"," Domik Petra I","50.46542","30.51461","1","23","8"
"156"," Obolonskaja gavanj","50.50233","30.51964","1","57","32"
"157"," Pamjatnik Bogdanu Hmeljnickomu","50.45356","30.51651","1","50","35"
"158"," Troeshtina","50.51385","30.61217","5","34","9"
"159"," Oktjabrjsjkij dvorec (Institut blagorodnih devic)","50.44983","30.52789","1","70","25"
"160"," Fort na lisoj gore","50.39586","30.55043","1","73","14"
"161"," Kinoteatr Zhovtenj","50.46831","30.5101","2","100","38"
"162"," Ulica Boljshaja Vasiljkovskaja","50.43449","30.51594","5","37","4"
"163"," Gostinnij dvor","50.46365","30.51792","1","5","22"
"164"," Pamjatnik Sagajdachnomu","50.46311","30.51846","1","78","22"
"165"," Mariinskij dvorec","50.44806","30.53802","1","29","54"
"166"," Opernij teatr","50.44668","30.51241","2","65","5"
"167"," Passazh","50.4477","30.52435","2","37","25"
"168"," Pamjatnik Tarasu Shevchenko","50.44173","30.51297","1","18","16"
"169"," Shvejcarija","50.45069","30.5374","5","18","57"
"170"," Pamjatnik Grigoriju Skovorode","50.46456","30.5178","1","67","43"
"171"," Hram Blagoveshtenija Presvjatoj Bogorodici (v Bortnichah)","50.36803","30.70144","1","4","53"
"172"," Moskovskij most","50.49085","30.53661","1","62","4"
"173"," Parlamentskaja biblioteka","50.45138","30.52925","2","59","44"
"174"," Shokoladnij domik","50.44313","30.53159","1","61","36"
"175"," Fabrika Marshaka","50.45225","30.52648","5","69","41"
"176"," Institut blagorodnih devic","50.44972","30.52787","5","71","7"
"177"," Latinskij kvartal v Kieve","50.43886","30.50391","1","29","11"
"178"," Obyekt i1 (severnij)","50.49888","30.52367","5","37","21"
"179"," Ulica Saksaganskogo","50.43697","30.50518","5","57","14"
"180"," Centraljnij botsad NAN Ukraini","50.41614","30.56152","4","65","29"
"181"," Rechnoj Vokzal","50.45904","30.52688","1","6","35"
"182"," Solomenka","50.42033","30.47934","5","1","12"
"183"," Muzej ilektroniki","50.48991","30.49639","2","60","16"
"184"," Gorodskoj sad","50.45068","30.53716","4","40","53"
"185"," Darnica","50.44828","30.62356","5","96","32"
"186"," Bashnja 5","50.43604","30.53665","1","99","14"
"187"," Zal-muzej Centra stenovoj keramiki","50.42852","30.67019","2","82","36"
"188"," Ulica Jaroslavov Val","50.45095","30.50997","5","72","42"
"189"," Zamok Richarda","50.46007","30.51627","1","25","41"
"190"," Bashnja 6","50.44101","30.54142","1","18","47"
"191"," Nikolaevskij kostel","50.42683","30.51775","1","77","2"
"192"," Kosoj kaponir","50.43211","30.52804","1","20","54"
"193"," Trapeznaja","50.4171","30.56811","5","20","5"
"194"," Goncharka","50.45818","30.51349","5","85","26"
"195"," Kievskij funikuler","50.45769","30.52346","1","58","38"
"196"," Zamkovaja gora","50.46238","30.51134","4","60","35"
"197"," Kolokoljnja","50.41706","30.56697","1","3","7"
"198"," Kiivsjkij velotrek.","50.44888","30.50569","5","78","6"
"199"," 1-j zhiloj dom vracha po ul. Boljshoj Zhitomirskoj 17","50.45498","30.51344","1","82","58"
"200"," Ljvovskaja ploshtadj","50.4548","30.50639","1","74","18"
"201"," Vladimirskij sobor","50.44494","30.50878","1","67","38"
"202"," Makarievskij hram","50.46697","30.49143","1","24","57"
"203"," Fontan Lotos","50.4481","30.52305","1","63","53"
"204"," Pamjatnik Cvjatomu Vladimiru","50.45609","30.52704","1","44","27"
"205"," Universitetskij botanicheskij sad","50.44321","30.50479","4","48","29"
"206"," Voenno-istoricheskij muzej","50.42754","30.56277","2","25","10"
"207"," Nacionaljnij hudozhestvennij muzej Ukraini","50.44934","30.53075","2","57","26"
"208"," Uspenija Bozhiej Materi Kievo-Pecherskaja Lavra","50.43472","30.5575","1","62","40"
"209"," Klovskij dvorec","50.44194","30.53316","1","25","1"
"210"," Pervij v Kieve bjuvet","50.45446","30.37614","1","77","30"
"211"," Pokrovskaja cerkovj","50.46089","30.51861","1","89","46"
"212"," Andreevskij spusk","50.45969","30.51655","1","94","7"
"213"," Anosovskij sad","50.43918","30.55505","1","6","38"
"214"," Muzej gramzapisi i starinnih muzikaljnih instrumentov","50.44338","30.52009","2","51","31"
"215"," Ubezhishte ricarja","50.44915","30.51189","1","50","11"
"216"," Rodina-Matj","50.42643","30.56279","1","59","50"
"217"," Pritisko-Nikoljskaja cerkovj","50.46491","30.51322","1","4","15"
"218"," Jazicheskoe kapishte","50.46082","30.51271","1","61","54"
"219"," Kievo-Mogiljanskaja kollegija (Kievo-Mogiljanskaja akademija  Kievskaja Duhovnaja akademija)","50.46455","30.52","5","51","20"
"220"," Tatarka","50.47142","30.48448","5","41","11"
"221"," Vinogradarj","50.50909","30.42186","5","77","2"
"222"," Dom v kotorom zhil arheolog V. Hvojka","50.46123","30.52439","1","8","46"
"223"," Bikivnjansjki Mogili Memor. Zapovednik","50.4764","30.6903","1","8","34"
"224"," Pam'jatnik Shvejku","49.53542","22.96651","1","59","54"
"225"," Dom v kotorom zhil M. Grushevsjkij","50.44","30.50527","1","76","19"
"226"," Usadjba G. Skovorodi Xviii St.","50.2679","32.9374","1","99","20"
"227"," Pamjatnik na meste otdiha Petra I","49.58443","34.56499","1","10","47"
"228"," Samaja Severnaja Tochka Ruminii (Transnistrii) V 1941-44 Gg.","49.11972","28.27556","1","44","8"
"229"," Pamjatnik bitvi na Chernoj rechke","44.55915","33.64692","1","35","22"
"230"," Zhovkva Arhit. Zapovednik","50.0555","23.97053","1","63","60"
"231"," Zapovednik-Muzej Karpenko-Karogo","48.46992","31.96973","4","5","31"
"232"," Kremenecjko-Pochaivsjkij Arh. Zapovednik","50.09663","25.72711","1","64","14"
"233"," Memorial Ljvovskih Orljat","49.83001","24.05799","1","25","29"
"234"," Pamjatnik knjazju Vladimiru. 1853 g.","50.45614","30.52704","1","20","50"
"235"," Pam'jatnik S.Petljuri 2001 g.","50.62","26.24805","1","56","0"
"236"," Tarasova Gora - Zapovednik","49.7321","31.5128","4","55","19"
"237"," Olesjkij Zamok Muzej-Zapovednik","49.96934","24.8985","1","75","28"
"238"," Mesce Katastrofi Potjagu Z Fosforom 16.07.2007","49.93907","24.73533","5","83","39"
"239"," Pamjatnik T. Shevchenku 1935 g.","50.00112","36.23447","1","9","4"
"240"," memorial-mogila zagiblim kozakam","50.08478","26.79367","1","62","4"
"241"," Pole Poltavskoj Bitvi Kuljt. Zapovednik -","49.63042","34.5518","1","62","57"
"242"," Pamjatnik Lesi Ukrainki 1973 g.","50.42705","30.54075","1","93","16"
"243"," Holm Slavi","49.83278","24.06611","4","3","1"
"244"," Pamjatnik Pervomu Syezdu Russkih Knjazej","51.71214","30.65598","1","38","59"
"245"," Mogila Sichovih Striljciv Na Gori Kljuch","49.03194","23.63556","1","52","54"
"246"," Usadjba Ajvazovskogo","45.10012","35.07847","1","88","43"
"247"," Pamjatnik N. Shtorsu. 1954 g.","50.44546","30.50111","1","69","7"
"248"," Oljvija Arhit. Zapovednik","46.68923","31.90541","1","98","21"
"249"," Memorial Bukrinskogo placdarma","49.95497","31.15789","1","52","50"
"250"," Samchiki Kuljt. Zapovednik","49.76635","27.39471","1","51","41"
"251"," Pershij v Ukraini pam'jatnik Stepanu Banderi","48.64669","25.73045","1","61","17"
"252"," Starodavnij Kiiv Arhit. Zapovednik","50.4612","30.51626","4","33","21"
"253"," Pamjatnik Antilope Gnu","50.27277","28.67111","1","30","30"
"254"," Pamjatnik pogibshim Bajkeram","49.84694","30.15861","1","96","60"
"255"," Dom v kotorom zhila L. Ukrainka","50.44","30.50092","1","96","27"
"256"," Pamjatnik A. Pushkinu 1904 g.","49.99472","36.23525","1","29","36"
"257"," Sadiba In-Ta Fiziologii Im. O. Bogomoljcja. 20 V.","50.44009","30.52945","1","36","47"
"258"," Pamjatnik Dzhonu Juzu","48.01382","37.80198","1","70","11"
"259"," Pamjatnik A. Mickevichu. 1930 g.","48.92124","24.71163","1","79","50"
"260"," Mesce Pohovannja Bogdana Hmeljnicjkogo 1657 R","49.09408","32.55462","1","56","60"
"261"," Pamjatnik F. Ushakovu 1957 1970 g.g.","46.63756","32.61611","1","81","21"
"262"," Dom v kotorom zhil L. I. Brezhnev","48.52207","34.5995","1","40","60"
"263"," Derevjannij pamjatnik Ferencu Rakoci","48.07533","22.88059","1","71","20"
"264"," Carj-pushka","48.0165","37.8021","1","38","51"
"265"," Kievo-Pechersjkij Zapovednik","50.43472","30.55506","4","60","53"
"266"," Pamjatnik A. Mickevichu 1906 g.","49.83942","24.03004","1","77","32"
"267"," Kompleks Parku Vichnoi Slavi. 1957 G.","50.4391","30.55325","4","1","41"
"268"," Babij Jar","50.47131","30.4492","1","34","57"
"269"," Dom Skovorodi","49.89139","36.20306","1","52","33"
"270"," Rodina S.Banderi","48.94967","24.36463","1","81","51"
"271"," Dom v kotorom zhil M. Bulgakov","50.46066","30.51471","1","18","9"
"272"," Mogila Poslednego Atamana Zaporozhskoj Sechi","47.81927","35.18144","1","3","28"
"273"," Usadjba Popova Arh. Muzej-Zapovednik","47.44649","35.27676","1","98","22"
"274"," Pam'jatnij znak na chestj zasnuvannja Kiiva. 1982 g.","50.42903","30.56881","1","80","5"
"275"," Mesce Isnuvannja Konctaboru","47.10658","32.2057","1","61","55"
"276"," Lucjkij Kuljt. Zapovednik","50.73892","25.32315","4","71","33"
"277"," Mesto Raspolozhenija Fashistskogo Konclagerja","50.4291","30.69453","1","58","18"
"278"," Kalos Limen Arh. Zapovednik","45.51765","32.68918","4","100","46"
"279"," Bjust L. I. Brezhneva","48.50099","34.6084","1","53","42"
"280"," Memorial Zagiblim Una Galichina V 1944-1945rg","49.79306","24.66537","1","30","8"
"281"," Kurgan Slavi","49.91426","23.92307","4","37","59"
"282"," Kuljt. Zapovednik V G. Dubno","50.42066","25.74539","4","15","8"
"283"," Pole Beresteckoj Bitvi Memor. Zapovednik","50.34899","25.19449","4","79","20"
"284"," Kuljt. Zapovednik V G. Bahchisaraj","44.74906","33.88206","4","77","35"
"285"," Kachanivka Kuljt. Zapovednik","50.83785","32.65811","4","53","24"
"286"," Mezhibizh Kuljt. Zapovednik","49.43637","27.41248","4","83","2"
"287"," Starij Krim Kuljt. Zapovednik","45.02582","35.0841","4","56","10"
"288"," Kuljt. Zapovednik V G. Putivle","51.33753","33.87278","4","26","52"
"289"," Hram-pamjatnik v pamjatj pavshih uchastnikov Pervoj mirovoj vojni","50.41403","30.55441","4","33","10"
"290"," Kuljt. Zapovednik V G. Ostrog","50.33233","26.51808","4","35","4"
"291"," Pamjatnik admiralu Makarovu","46.97776","31.99041","1","61","47"
"292"," Pamjatnik A. Pushkinu 1899 rik","50.2515","28.66958","1","32","35"
"293"," Muzej-Zapovednik V G. Alupka","44.41984","34.05609","4","34","43"
"294"," Davnij Galich Zapovednik","49.08529","24.69761","4","75","46"
"295"," Kuljt. Zapovednik V G. Gluhove","51.67713","33.91997","4","74","19"
"296"," Pamjatnik B. Hmeljnicjkomu. 1888 g.","50.45357","30.51653","4","65","5"
"297"," Arhit. Zapovednik U G. Zbarazh","49.66318","25.78433","4","65","58"
"298"," Mavzolej pervogoskogo hana Hadzhi-Gireja","44.7475","33.90803","1","7","15"
"299"," Askoljdova Mogila. Ix-Xx St.","50.44393","30.55142","1","69","60"
